Kaupifalco monogrammicus
Bucorvus abyssinicus
Tockus leucomelas
Tockus deckeni
Buceros bicornis
Ocyceros birostris
Anthracoceros albirostris
Metallura tyrianthina
Phaethornis striigularis
Phaethornis guy
Eupherusa
Amazilia yucatanensis
Amazilia tzacatl
Amazilia fimbriata
Amazilia cyanocephala
Amazilia violiceps
Amazilia beryllina
Amazilia franciae
Amazilia candida
Amazilia rutila
Anthracothorax prevostii
Anthracothorax nigricollis
Chalybura buffonii
Lampornis clemenciae
Lampornis calolaemus
Ocreatus underwoodii
Heliomaster longirostris
Heliomaster constantii
Aglaiocercus coelestis
Heliodoxa jacula
Heliodoxa rubinoides
Thalurania glaucopis
Hylocharis chrysura
Campylopterus hemileucurus
Campylopterus curvipennis
Lesbia victoriae
Eupetomena macroura
Colibri coruscans
Colibri delphinae
Chlorostilbon lucidus
Chlorostilbon melanorhynchus
Chlorostilbon auriceps
Chlorostilbon canivetii
Chlorostilbon ricordii
Elvira cupreiceps
Cynanthus latirostris
Cynanthus sordidus
Adelomyia melanogenys
Chaetocercus mulsant
Heliangelus exortis
Aglaeactis cupripennis
Coeligena torquata
Patagona gigas
Eriocnemis
Calypte costae
Calypte anna
Calliphlox mitchellii
Lophornis
Selasphorus sasin
Selasphorus rufus
Selasphorus platycercus
Calothorax lucifer
Orthorhyncus cristatus
Discosura conversii
Florisuga mellivora
Eulampis
Archilochus colubris
Archilochus alexandri
Boissonneaua matthewsii
Boissonneaua jardini
Boissonneaua flavescens
Ensifera ensifera
Doricha eliza
Hemiprocne
Aeronautes saxatalis
Chaetura vauxi
Chaetura pelagica
Streptoprocne zonaris
Apus affinis
Apus apus
Apus pallidus
Cypseloides niger
Cypsiurus
Dendrocygna javanica
Dendrocygna autumnalis
Dendrocygna eytoni
Dendrocygna arcuata
Dendrocygna viduata
Dendrocygna bicolor
Anseranas semipalmata
Anhima cornuta
Chauna torquata
Cygnus atratus
Cygnus buccinator
Cygnus cygnus
Cygnus columbianus
Cygnus olor
Anas rubripes
Anas poecilorhyncha
Anas platyrhynchos
Anas acuta
Anas crecca
Anas flavirostris
Anas fulvigula
Anas bahamensis
Anas castanea
Anas undulata
Anas gracilis
Anas sparsa
Anas erythrorhyncha
Anas capensis
Anas superciliosa
Anas georgica
Bucephala clangula
Bucephala albeola
Bucephala islandica
Mergus serrator
Mergus merganser
Anser brachyrhynchus
Anser indicus
Anser fabalis
Anser cygnoides
Anser anser
Anser albifrons
Somateria mollissima
Somateria spectabilis
Melanitta fusca
Melanitta perspicillata
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya marila
Aythya australis
Aythya affinis
Aythya nyroca
Aythya americana
Aythya valisineria
Aythya novaeseelandiae
Tadorna tadorna
